PMID,Gene,Effect on gene product,Model,Susceptibility observed,Inferred gene effect,Specificity,Species,pub_date,LastAuthor
20479257,SULF2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2010 May 17,Lotz MK
31926346,TAC1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2020 Jan 8,Grässel S
25964075,TFAP2E,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2015 May 12,Bosserhoff AK
28544596,PTGDR,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Aug 1,Fahmi H
28544596,PTGDR,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2017 Aug 1,Fahmi H
27457421,TGFA,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Jul 26,Beier F
27457421,TGFA,Removal,Spontaneous,No effect,No effect,Global,Mouse,2016 Jul 26,Beier F
24309371,TGFB1,Activated,Spontaneous,Detrimental,Detrimental,Bone,Mouse,2013 Dec 5,Wang M
23685840,TGFB1,Activated,Spontaneous,Detrimental,Detrimental,Global,Mouse,2013 May 19,Cao X
31673109,TGFB1I1,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2019 Oct 31,Miyazaki A
30078186,TGFBR1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2018 Aug 5,Chen L
28716756,TGFBR1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Jul 14,Chen L
26355014,TGFBR2,Removal,Spontaneous,No effect,No effect,Cartilage Inducible,Mouse,2015 Sep 4,Xu L
26355014,TGFBR2,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2015 Sep 4,Xu L
23982761,TGFBR2,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2013 Dec,Chen D
23685840,TGFBR2,Removal,Surgical - ACLT,Protective,Detrimental,MSC,Mouse,2013 May 19,Cao X
31068441,TGFBR2,Removal,Spontaneous,Detrimental,Protective,Forelimb Inducible,Mouse,2019 May 8,Spagnoli A
31068441,TGFBR2,Removal,Surgical,Detrimental,Protective,Forelimb Inducible,Mouse,2019 May 8,Spagnoli A
18584285,TGM2,Removal,Surgical - DMM + ACL + MM,Ambiguous,Ambiguous,Global,Mouse,2008 Jun 27,Tarantino U
22664108,TIMP2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2012 Jun 1,Xiao T
30379418,TIMP3,Overexpression,STR/ORT,Protective,Protective,Cartilage,Mouse,2019 Feb 14,Bou-Gharios G
17328064,TIMP3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Mar,Mort JS
24703622,TLR1,Removal,Surgical - DMM +MM,No effect,No effect,Global,Mouse,2014 Apr 2,Busso N
24703622,TLR2,Removal,Surgical - DMM +MM,No effect,No effect,Global,Mouse,2014 Apr 2,Busso N
31044181,TLR4,Removal,High Fat Diet,Protective,Detrimental,Global,Mouse,2018 Oct 4,Humphrey MB
26245312,TLR4,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2015 Nov,Malfait AM
24703622,TLR4,Removal,Surgical - DMM +MM,No effect,No effect,Global,Mouse,2014 Apr 2,Busso N
30240938,TLR5,Removal,Spontaneous,No effect,No effect,Global,Mouse,2018 Sep 18,Hernandez CJ
24703622,TLR6,Removal,Surgical - DMM +MM,No effect,No effect,Global,Mouse,2014 Apr 2,Busso N
19747998,TNC,Removal,Surgical - DMM + ACL,Detrimental,Protective,Global,Mouse,2009 Sep 6,Uchida A
19747998,TNC,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Sep 6,Uchida A
29622035,TNF,Removal,Collagenase,No effect,No effect,Global,Mouse,2018 Apr 5,Cook AD
26713606,TNF,Removal,High Fat Diet,Protective,Detrimental,Global,Mouse,2016 Jun,Mooney RA
30623241,TNFRSF11B,Removal,Surgical – TMJ,Detrimental,Protective,Global,Mouse,2019 Jan 8,Wang P
27541035,TNFRSF11B,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2016 Aug 19,Zhang Q
26018435,TNFRSF11B,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2015 May 27,Simonet WS
17907189,TNFRSF11B,Haploinsufficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Oct,Muneta T
17907189,TNFRSF11B,Haploinsufficiency,Surgical - DMM,Detrimental,Protective,Global,Mouse,2007 Oct,Muneta T
27792866,TP63,Removal,Spontaneous,Protective,Detrimental,Cartilage,Mouse,2017 Mar,Saito T
27792866,TP63,Removal,Surgical - DMM + MM,Protective,Detrimental,Cartilage,Mouse,2017 Mar,Saito T
26521748,TRPA1,Removal,MIA,Protective,Detrimental,Global,Mouse,2015 Nov,Moilanen E
27388701,TRPV4,Removal,Surgical - DMM,No effect,No effect,Cartilage Inducible,Mouse,2016 Jul 8,Guilak F
27388701,TRPV4,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2016 Jul 8,Guilak F
23178209,TRPV4,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2012 Nov 23,Guilak F
20583100,TRPV4,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2010 Oct,Guilak F
28063212,TRPV6,Removal,Surgical - ACLT,Detrimental,Protective,Global,Mouse,2017 Apr 10,Ye T
31007149,TSC1,Removal,Surgical - UAC,Detrimental,Protective,Cartilage,Mouse,2019 Apr 21,Wang M
30792936,TSC1,Removal,Surgical - ACLT,Detrimental,Protective,Global,Mouse,2019 Feb 20,Bai X
30408629,TSC1,Removal,Surgical - DMM,Detrimental,Protective,B cells,Mouse,2018 Nov 6,Cai DZ
30145794,TSC1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2018 Aug 26,Bai X
29991473,TSC1,Removal,Collagenase,Detrimental,Protective,Macrophage,Mouse,2018 Jul 10,Bai X
29329496,TSC1,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2018 Mar 24,Bai X
29329496,TSC1,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2018 Mar 24,Bai X
28043938,TSC1,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Dec 31,Cai D
28043938,TSC1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Dec 31,Cai D
28941045,TTR,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Sep 22,Lotz MK
28941045,TTR,Overexpression,Surgical - DMM,Detrimental,Detrimental,Global,Mouse,2017 Sep 22,Lotz MK
28941045,TTR,Overexpression,Spontaneous,Detrimental,Detrimental,Global,Mouse,2017 Sep 22,Lotz MK
30302948,TUT7,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Mar 6,Haqqi TM
30258877,TWIST1,Activated,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2016 Feb 24,Drissi H
31044181,TYROBP,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2018 Oct 4,Humphrey MB
28086000,UCMA,Removal,Surgical - DMM,Ambiguous,Ambiguous,Global,Mouse,2017 Apr 24,Schett G
22391889,UGCG,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2012 Aug,Iwasaki N
22391889,UGCG,Removal,Surgical - DMM + MM,Detrimental,Protective,Cartilage,Mouse,2012 Aug,Iwasaki N
29026147,VEGFA,Haploinsufficiency,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2017 Oct 12,Olsen BR
24999110,VHL,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2014 Jul 4,Chen L
24999110,VHL,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2014 Jul 4,Chen L
28735021,CCN4,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2017 Jul 19,Young MF
28735021,CCN4,Removal,Spontaneous,No effect,No effect,Global,Mouse,2017 Jul 19,Young MF
28735021,CCN4,Removal,Surgical - ACLT,Protective,Detrimental,Global,Mouse,2017 Jul 19,Young MF
28735021,CCN4,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2017 Jul 19,Young MF
30745310,WNT16,Removal,Surgical - ACLT,Detrimental,Protective,Cartilage,Mouse,2019 Feb 11,Mak KK
27147711,WNT16,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2016 May 4,Dell'Accio F
32140758,WNT16,Overexpression,Surgical - DMM,No effect,No effect,Osteoblasts,Mouse,2020 Mar 5,Movérare-Skrtic S
31160553,WWP2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Jun 3,Asahara H
31160553,WWP2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2019 Jun 3,Asahara H
30385786,YAP1,Overexpression,Surgical - ACLT,Detrimental,Protective,Cartilage,Mouse,2018 Nov 1,Mak KK
30385786,YAP1,Removal,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2018 Nov 1,Mak KK
30622281,ZFP36L1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Jan 8,Chun JS
28544596,PTGDR,Removal,Surgical - DMM,Detrimental,Protective,systemic,Mouse,2017 Aug 1,Fahmi H
32626917,mir-1,Overexpression,Surgical – ACLT,Protective,Protective,Cartilage,Mouse,2020 May 12,Li P
32616521,CCN2,Removal,Surgical – DMM,No effect,No effect,Cartilage Inducible,Mouse,2020 Jul 2,Poulet B
32616521,CCN2,Removal,Cyclic loading,No effect,No effect,Cartilage Inducible,Mouse,2020 Jul 2,Poulet B
32612184,EVC,Removal,Surgical - DMM,No effect,No effect,Inducible,Mouse,2020 Jul 1,Herrero-Beaumont G
32550912,RSK3,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2020 May 25,Zhou G
32665267,SIRT1,Removal,Surgical – DMM,Detrimental,Protective,Cartilage,Mouse,2020 Jul 14,Dvir-Ginzberg M
32638534,CHRNA7,Removal,Surgical – MM,Detrimental,Protective,Global,Mouse,2020 Jul 8,Sellam J
32518385,TIMP3,Overexpression,Surgical – DMM,Protective,Protective,Cartilage,Mouse,2020 Jun 9,Bou-Gharios G
32499111,SIRT1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jun 1,Wu S
32499111,SIRT1,Removal,Surgical – DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jun 1,Wu S
32441256,PTGS2,Removal,Surgical – DMM,No effect,No effect,Osteoblasts,Mouse,2020 May 22,Cao X
32431699,IL17A,Removal,MIA,Protective,Detrimental,Global,Mouse,2020 May 5,Cho ML
32431699,IL1RN,Removal,MIA,Detrimental,Protective,Global,Mouse,2020 May 5,Cho ML
32430054,ERRFI1,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2020 May 19,Beier F
32418287,MAPK8,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 May 17,Carlson CS
32418287,MAPK9,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 May 17,Carlson CS
32418287,MAPK8,Removal,Surgical – DMM,No effect,No effect,Global,Mouse,2020 May 17,Carlson CS
32418287,MAPK9,Removal,Surgical – DMM,No effect,No effect,Global,Mouse,2020 May 17,Carlson CS
32431699,TRAF3,Overexpression,Surgical – DMM,Protective,Protective,Global,Mouse,2020 May 5,Cho ML
32431699,IL17A,Removal,Surgical – DMM,Protective,Detrimental,Global,Mouse,2020 May 5,Cho ML
32409323,FBXO6,Removal,Surgical – ACLT,Detrimental,Protective,Global,Mouse,2020 May 14,Fan S
32409323,FBXO6,Removal,Surgical – ACLT,Detrimental,Protective,Cartilage Inducible,Mouse,2020 May 14,Fan S
32371389,ENPP1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2020 May 5,Pap T
32357909,mir-21-5p,Removal,Surgical – UAC,Protective,Detrimental,Global,Mouse,2020 May 1,Zhao H
32339698,CRY1,Removal,Surgical – DMM,No effect,No effect,Global,Mouse,2020 Apr 24,Lotz M
32339698,CRY2,Removal,Surgical – DMM,Detrimental,Protective,Global,Mouse,2020 Apr 24,Lotz M
32336048,PTGDS,Removal,Surgical – DMM,Detrimental,Protective,Global,Mouse,2020 Apr 26,Fahmi H
32315715,NDST1,Haploinsufficiency,Surgical – ACLT,Protective,Detrimental,Global,Mouse,2020 Apr 18,Vortkamp A
32315715,NDST1,Removal,Surgical – ACLT,Protective,Detrimental,Cartilage,Mouse,2020 Apr 18,Vortkamp A
32315715,EXT1,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2020 Apr 18,Vortkamp A
32315715,EXT1,Removal,Surgical – ACLT,Protective,Detrimental,Cartilage Inducible,Mouse,2020 Apr 18,Vortkamp A
32295898,TET1,Removal,Surgical – DMM,Protective,Detrimental,Global,Mouse,2020 Apr 15,Bhutani N
32269734,SOX9,Overexpression,Spontaneous,Detrimental,Detrimental,Hypertrophic cartilage,Mouse,2020 Mar 15,Zhou G
32214220,HIF1A,Removal,Surgical – MCL + MM,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Mar 25,Saito T
32183900,MPST,Removal,Surgical – MM,Detrimental,Protective,Global,Mouse,2020 Mar 17,Busso N
31980519,FOXO1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO3,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO4,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO3,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO4,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO1,Removal,Treadmill,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO3,Removal,Treadmill,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31980519,FOXO4,Removal,Treadmill,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 24,Lotz MK
31958497,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Jan 17,Oheim R
31901095,FGF2,Overexpression,Spontaneous,Detrimental,Detrimental,Global,Mouse,2020 Jan 1,Hurley MM
31828128,SOST,Removal,Surgical – ACLT,Detrimental,Protective,Global,Mouse,2019 Nov 11,Bai D
15492776,BMPR1A,Removal,Spontaneous,Detrimental,Protective,Developing Joints,Mouse,2004 Oct 19,Kingsley DM
30104377,FOXP2,Removal,Spontaneous,Detrimental,Protective,Bone,Mouse,2018 Aug 13,Guo X
30104377,FOXP2,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2018 Aug 13,Guo X
26683663,NID2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2015 Dec 10,Miosge N
32647171,LDHA,Removal,Surgical – MM,Protective,Detrimental,Cartilage,Mouse,2020 Jul 9,Abu-Amer Y
32647171,IKK2,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage Inducible,Mouse,2020 Jul 9,Abu-Amer Y
16624844,FGFR3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2006 Apr 19,Henderson JE
32636527,IL22RA1,Removal,Surgical – DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2020 Jul 7,Sacitharan PK
