accession	comparison	comparisonsText
GSE112641	9	Injured_STR_ort_2_weeks_post_injuryvsUninjured_STR_ort_2_weeks_post_injury
GSE120244	1	Cre recombinasevsGFP
GSE121029	1	Lentiviruses expressing WT DGCR8vsLentiviruses expressing Luc
GSE121029	2	Lentiviruses expressing mtDRBD DGCR8vsLentiviruses expressing Luc
GSE123076	1	Adamts17-/-vswild type
GSE125153	1	Bcl3 knockout_1 dayvsWild-type_1 day
GSE125153	2	Bcl3 knockout_3 daysvsWild-type_3 days
GSE125153	3	Wild-type_3 daysvsWild-type_1 day
GSE125153	4	Bcl3 knockout_3 daysvsBcl3 knockout_1 day
GSE128402	1	Col2Cre; Adgrg6f/fvswild type
GSE7685	1	Manually.microdissected.embryonic.tibiae..zone.I.of.growth.platevsManually.microdissected.embryonic.tibiae..zone.II.of.growth.plate
GSE7685	2	Manually.microdissected.embryonic.tibiae..zone.II.of.growth.platevsManually.microdissected.embryonic.tibiae..zone.III.of.growth.plate
GSE7685	3	Manually.microdissected.embryonic.tibiae..zone.I.of.growth.platevsManually.microdissected.embryonic.tibiae..zone.III.of.growth.plate
GSE97828	1	MUTvsWT
GSE98295	1	miR-140 WT/G heterovsmiR-140 WT
GSE98295	2	miR-140 G/GvsmiR-140 WT
GSE98295	3	miR-140 KOvsmiR-140 WT
