pigID	HumanID	pigGeneSymbol	HumanGeneSymbol
ENSSSCG00000039543	ENSG00000108107	NA	RPL28
ENSSSCG00000030430	ENSG00000108107	NA	RPL28
ENSSSCG00000014835	ENSG00000168014	C2CD3	C2CD3
ENSSSCG00000011599	ENSG00000144596	GRIP2	GRIP2
ENSSSCG00000003820	ENSG00000162607	USP1	USP1
ENSSSCG00000032558	ENSG00000170370	EMX2	EMX2
ENSSSCG00000007955	ENSG00000103351	CLUAP1	CLUAP1
ENSSSCG00000040899	ENSG00000196944	NA	OR2T4
ENSSSCG00000032897	ENSG00000196944	NA	OR2T4
ENSSSCG00000008913	ENSG00000163453	IGFBP7	IGFBP7
ENSSSCG00000017575	ENSG00000278023	NA	RDM1
ENSSSCG00000012308	ENSG00000274588	DGKK	DGKK
ENSSSCG00000025869	ENSG00000100314	CABP7	CABP7
ENSSSCG00000023495	ENSG00000057757	PITHD1	PITHD1
ENSSSCG00000032160	ENSG00000143107	NA	FNDC7
ENSSSCG00000030110	ENSG00000196535	NA	MYO18A
ENSSSCG00000017783	ENSG00000196535	NA	MYO18A
ENSSSCG00000000135	ENSG00000100379	KCTD17	KCTD17
ENSSSCG00000035276	ENSG00000175857	GAPT	GAPT
ENSSSCG00000033373	ENSG00000169019	COMMD8	COMMD8
ENSSSCG00000024351	ENSG00000105976	MET	MET
ENSSSCG00000012202	ENSG00000229894	NA	GK3P
ENSSSCG00000015699	ENSG00000153086	ACMSD	ACMSD
ENSSSCG00000009659	ENSG00000240694	PNMA2	PNMA2
ENSSSCG00000008119	ENSG00000115041	KCNIP3	KCNIP3
ENSSSCG00000012758	ENSG00000147383	NSDHL	NSDHL
ENSSSCG00000003338	ENSG00000169972	PUSL1	PUSL1
ENSSSCG00000032778	ENSG00000120278	PLEKHG1	PLEKHG1
ENSSSCG00000037065	ENSG00000213853	EMP2	EMP2
ENSSSCG00000009879	ENSG00000186815	TPCN1	TPCN1
ENSSSCG00000010743	ENSG00000107949	BCCIP	BCCIP
ENSSSCG00000007162	ENSG00000185019	UBOX5	UBOX5
ENSSSCG00000032398	ENSG00000206538	VGLL3	VGLL3
ENSSSCG00000010332	ENSG00000189129	PLAC9	PLAC9
ENSSSCG00000006288	ENSG00000174175	SELP	SELP
ENSSSCG00000009658	ENSG00000104765	BNIP3L	BNIP3L
ENSSSCG00000005083	ENSG00000100612	DHRS7	DHRS7
ENSSSCG00000025116	ENSG00000160949	TONSL	TONSL
ENSSSCG00000035908	ENSG00000029993	NA	HMGB3
ENSSSCG00000005386	ENSG00000136874	STX17	STX17
ENSSSCG00000027320	ENSG00000188687	SLC4A5	SLC4A5
ENSSSCG00000032305	ENSG00000203772	SPRN	SPRN
ENSSSCG00000038768	ENSG00000170075	GPR37L1	GPR37L1
ENSSSCG00000040509	ENSG00000136490	LIMD2	LIMD2
ENSSSCG00000011652	ENSG00000118007	STAG1	STAG1
ENSSSCG00000035612	ENSG00000160471	COX6B2	COX6B2
ENSSSCG00000028064	ENSG00000180053	NKX2-6	NKX2-6
ENSSSCG00000020988	ENSG00000237440	NA	ZNF737
ENSSSCG00000023062	ENSG00000102241	HTATSF1	HTATSF1
ENSSSCG00000039151	ENSG00000166634	SERPINB12	SERPINB12
ENSSSCG00000003733	ENSG00000197705	KLHL14	KLHL14
ENSSSCG00000006029	ENSG00000120526	NUDCD1	NUDCD1
ENSSSCG00000004666	ENSG00000137767	NA	SQOR
ENSSSCG00000040663	ENSG00000051108	HERPUD1	HERPUD1
ENSSSCG00000032071	ENSG00000163217	BMP10	BMP10
ENSSSCG00000009148	ENSG00000138795	LEF1	LEF1
ENSSSCG00000032261	ENSG00000159873	CCDC117	CCDC117
ENSSSCG00000039951	ENSG00000188403	NA	IGHV1OR15-9
ENSSSCG00000007854	ENSG00000188215	DCUN1D3	DCUN1D3
ENSSSCG00000012271	ENSG00000182872	RBM10	RBM10
ENSSSCG00000017209	ENSG00000125457	MIF4GD	MIF4GD
ENSSSCG00000031322	ENSG00000163961	NA	RNF168
ENSSSCG00000031141	ENSG00000179869	ABCA13	ABCA13
ENSSSCG00000007452	ENSG00000172315	TP53RK	TP53RK
ENSSSCG00000001516	ENSG00000030110	BAK1	BAK1
ENSSSCG00000014455	ENSG00000186886	NA	OR5D3P
ENSSSCG00000037186	ENSG00000186886	NA	OR5D3P
ENSSSCG00000012137	ENSG00000102010	BMX	BMX
ENSSSCG00000009950	ENSG00000184571	NA	PIWIL3
ENSSSCG00000009388	ENSG00000198553	KCNRG	KCNRG
ENSSSCG00000014764	ENSG00000167332	OR51E2	OR51E2
ENSSSCG00000014662	ENSG00000181023	OR56B1	OR56B1
ENSSSCG00000001850	ENSG00000250021	NA	C15orf38-AP3S2
ENSSSCG00000011806	ENSG00000127241	MASP1	MASP1
ENSSSCG00000031668	ENSG00000101079	NA	NDRG3
ENSSSCG00000040356	ENSG00000134375	NA	TIMM17A
ENSSSCG00000001101	ENSG00000079689	SCGN	SCGN
ENSSSCG00000011679	ENSG00000175054	ATR	ATR
ENSSSCG00000012148	ENSG00000169895	SYAP1	SYAP1
ENSSSCG00000025000	ENSG00000183379	SYNDIG1L	SYNDIG1L
ENSSSCG00000009831	ENSG00000111249	CUX2	CUX2
ENSSSCG00000005012	ENSG00000165527	ARF6	ARF6
ENSSSCG00000036190	ENSG00000179855	GIPC3	GIPC3
ENSSSCG00000000534	ENSG00000133704	IPO8	IPO8
ENSSSCG00000002145	ENSG00000136319	TTC5	TTC5
ENSSSCG00000036833	ENSG00000211803	NA	TRAV23DV6
ENSSSCG00000039839	ENSG00000211803	NA	TRAV23DV6
ENSSSCG00000000487	ENSG00000175782	SLC35E3	SLC35E3
ENSSSCG00000032613	ENSG00000124216	SNAI1	SNAI1
ENSSSCG00000009049	ENSG00000170185	USP38	USP38
ENSSSCG00000015446	ENSG00000135241	PNPLA8	PNPLA8
ENSSSCG00000014422	ENSG00000133710	SPINK5	SPINK5
ENSSSCG00000014361	ENSG00000120306	NA	CYSTM1
ENSSSCG00000034843	ENSG00000144134	NA	RABL2A
ENSSSCG00000002528	ENSG00000196663	TECPR2	TECPR2
ENSSSCG00000037615	ENSG00000176294	NA	OR4N2
ENSSSCG00000022431	ENSG00000176294	NA	OR4N2
ENSSSCG00000034109	ENSG00000176294	NA	OR4N2
ENSSSCG00000007308	ENSG00000125995	ROMO1	ROMO1
ENSSSCG00000034572	ENSG00000135698	NA	MPHOSPH6
ENSSSCG00000003788	ENSG00000050628	PTGER3	PTGER3
ENSSSCG00000010772	ENSG00000151651	ADAM8	ADAM8
ENSSSCG00000004702	ENSG00000242866	STRC	STRC
ENSSSCG00000010509	ENSG00000155629	PIK3AP1	PIK3AP1
ENSSSCG00000008806	ENSG00000177752	YIPF7	YIPF7
ENSSSCG00000025901	ENSG00000172954	LCLAT1	LCLAT1
ENSSSCG00000011811	ENSG00000145012	LPP	LPP
ENSSSCG00000001664	ENSG00000146216	TTBK1	TTBK1
ENSSSCG00000016459	ENSG00000146904	EPHA1	EPHA1
ENSSSCG00000002755	ENSG00000102908	NFAT5	NFAT5
ENSSSCG00000032687	ENSG00000145476	CYP4V2	CYP4V2
ENSSSCG00000025681	ENSG00000141179	NA	PCTP
ENSSSCG00000031312	ENSG00000211724	NA	TRBV6-6
ENSSSCG00000008703	ENSG00000184160	ADRA2C	ADRA2C
ENSSSCG00000025329	ENSG00000105671	DDX49	DDX49
ENSSSCG00000023745	ENSG00000055732	MCOLN3	MCOLN3
ENSSSCG00000039311	ENSG00000107130	NCS1	NCS1
ENSSSCG00000017548	ENSG00000064300	NGFR	NGFR
ENSSSCG00000014909	ENSG00000137501	NA	SYTL2
ENSSSCG00000033706	ENSG00000108559	NUP88	NUP88
ENSSSCG00000014009	ENSG00000113300	CNOT6	CNOT6
ENSSSCG00000038585	ENSG00000111786	NA	SRSF9
ENSSSCG00000009906	ENSG00000111786	SRSF9	SRSF9
ENSSSCG00000002959	ENSG00000130244	FAM98C	FAM98C
ENSSSCG00000031580	ENSG00000139233	NA	LLPH
ENSSSCG00000011698	ENSG00000163754	GYG1	GYG1
ENSSSCG00000021576	ENSG00000112149	CD83	CD83
ENSSSCG00000004687	ENSG00000166710	B2M	B2M
ENSSSCG00000040732	ENSG00000167716	WDR81	WDR81
ENSSSCG00000040221	ENSG00000230301	NA	OR5H6
ENSSSCG00000032497	ENSG00000230301	NA	OR5H6
ENSSSCG00000040573	ENSG00000230301	NA	OR5H6
ENSSSCG00000040046	ENSG00000230301	NA	OR5H6
ENSSSCG00000031766	ENSG00000230301	NA	OR5H6
ENSSSCG00000035461	ENSG00000230301	NA	OR5H6
ENSSSCG00000033782	ENSG00000230301	NA	OR5H6
ENSSSCG00000036840	ENSG00000230301	NA	OR5H6
ENSSSCG00000002452	ENSG00000100600	LGMN	LGMN
ENSSSCG00000006940	ENSG00000142871	CYR61	CYR61
ENSSSCG00000016995	ENSG00000214360	EFCAB9	EFCAB9
ENSSSCG00000002957	ENSG00000179168	GGN	GGN
ENSSSCG00000005196	ENSG00000137038	DMAC1	DMAC1
ENSSSCG00000010447	ENSG00000107796	ACTA2	ACTA2
ENSSSCG00000004477	ENSG00000112706	IMPG1	IMPG1
ENSSSCG00000039812	ENSG00000125249	RAP2A	RAP2A
ENSSSCG00000002891	ENSG00000126251	FFAR3	GPR42
ENSSSCG00000008713	ENSG00000170871	KIAA0232	KIAA0232
ENSSSCG00000035356	ENSG00000100522	NA	GNPNAT1
ENSSSCG00000008312	ENSG00000135636	DYSF	DYSF
ENSSSCG00000002406	ENSG00000100591	AHSA1	AHSA1
ENSSSCG00000033355	ENSG00000168481	LGI3	LGI3
ENSSSCG00000009211	ENSG00000145337	PIGY	PYURF
ENSSSCG00000013594	ENSG00000142449	FBN3	FBN3
ENSSSCG00000006347	ENSG00000081721	DUSP12	DUSP12
ENSSSCG00000002052	ENSG00000255804	OR6J1	OR6J1
ENSSSCG00000000040	ENSG00000100167	SEPT3	SEPT3
ENSSSCG00000035651	ENSG00000136011	NA	STAB2
ENSSSCG00000004146	ENSG00000135597	REPS1	REPS1
ENSSSCG00000002933	ENSG00000161298	ZNF382	ZNF382
ENSSSCG00000008645	ENSG00000115738	ID2	ID2
ENSSSCG00000033776	ENSG00000282815	NA	TEX13C
ENSSSCG00000031332	ENSG00000139977	NAA30	NAA30
ENSSSCG00000038563	ENSG00000137818	NA	RPLP1
ENSSSCG00000008909	ENSG00000134852	CLOCK	CLOCK
ENSSSCG00000005890	ENSG00000147789	ZNF7	ZNF7
ENSSSCG00000026705	ENSG00000143748	NVL	NVL
ENSSSCG00000036496	ENSG00000181961	NA	OR4A16
ENSSSCG00000034891	ENSG00000215644	GCGR	GCGR
ENSSSCG00000036954	ENSG00000171160	MORN4	MORN4
ENSSSCG00000016871	ENSG00000151882	CCL28	CCL28
ENSSSCG00000002996	ENSG00000171570	NA	RAB4B-EGLN2
ENSSSCG00000003604	ENSG00000121753	ADGRB2	ADGRB2
ENSSSCG00000002919	ENSG00000011600	TYROBP	TYROBP
ENSSSCG00000001394	ENSG00000204516	NA	MICB
ENSSSCG00000010692	ENSG00000120008	WDR11	WDR11
ENSSSCG00000036996	ENSG00000206557	TRIM71	TRIM71
ENSSSCG00000003187	ENSG00000104870	FCGRT	FCGRT
ENSSSCG00000003435	ENSG00000116691	MIIP	MIIP
ENSSSCG00000015159	ENSG00000196248	NA	OR10S1
ENSSSCG00000010210	ENSG00000165449	SLC16A9	SLC16A9
ENSSSCG00000009560	ENSG00000198176	TFDP1	TFDP1
ENSSSCG00000007505	ENSG00000124092	CTCFL	CTCFL
ENSSSCG00000003498	ENSG00000162543	UBXN10	UBXN10
ENSSSCG00000004668	ENSG00000104154	SLC30A4	SLC30A4
ENSSSCG00000035091	ENSG00000266338	NA	NBPF15
ENSSSCG00000039575	ENSG00000099864	PALM	PALM
ENSSSCG00000007710	ENSG00000009950	MLXIPL	MLXIPL
ENSSSCG00000002555	ENSG00000184916	JAG2	JAG2
ENSSSCG00000028076	ENSG00000184828	ZBTB7C	ZBTB7C
ENSSSCG00000011905	ENSG00000251012	NA	AC083800.1
ENSSSCG00000036572	ENSG00000135697	BCO1	BCO1
ENSSSCG00000011014	ENSG00000095739	BAMBI	BAMBI
ENSSSCG00000011394	ENSG00000004534	RBM6	RBM6
ENSSSCG00000010569	ENSG00000198408	OGA	OGA
ENSSSCG00000009122	ENSG00000180801	ARSJ	ARSJ
ENSSSCG00000006165	ENSG00000075826	SEC31B	SEC31B
ENSSSCG00000009257	ENSG00000196475	GK2	GK2
ENSSSCG00000010915	ENSG00000134369	NAV1	NAV1
ENSSSCG00000023948	ENSG00000168246	UBTD2	UBTD2
ENSSSCG00000014291	ENSG00000072364	AFF4	AFF4
ENSSSCG00000017502	ENSG00000161395	PGAP3	PGAP3
ENSSSCG00000023991	ENSG00000143622	RIT1	RIT1
ENSSSCG00000009482	ENSG00000136158	SPRY2	SPRY2
ENSSSCG00000025326	ENSG00000135185	TMEM243	TMEM243
ENSSSCG00000010331	ENSG00000122359	NA	ANXA11
ENSSSCG00000031705	ENSG00000113384	NA	GOLPH3
ENSSSCG00000038326	ENSG00000113384	NA	GOLPH3
ENSSSCG00000025499	ENSG00000089327	NA	FXYD5
ENSSSCG00000024485	ENSG00000105784	RUNDC3B	RUNDC3B
ENSSSCG00000005027	ENSG00000139926	FRMD6	FRMD6
ENSSSCG00000031159	ENSG00000178409	BEND3	BEND3
ENSSSCG00000031413	ENSG00000165688	PMPCA	PMPCA
ENSSSCG00000000709	ENSG00000008323	PLEKHG6	PLEKHG6
ENSSSCG00000023761	ENSG00000125944	HNRNPR	HNRNPR
ENSSSCG00000035737	ENSG00000187969	ZCCHC13	ZCCHC13
ENSSSCG00000008452	ENSG00000138095	LRPPRC	LRPPRC
ENSSSCG00000033319	ENSG00000131864	USP29	USP29
ENSSSCG00000005036	ENSG00000180998	GPR137C	GPR137C
ENSSSCG00000039407	ENSG00000196329	NA	GIMAP5
ENSSSCG00000014995	ENSG00000170967	DDI1	DDI1
ENSSSCG00000009562	ENSG00000185974	GRK1	GRK1
ENSSSCG00000034656	ENSG00000040608	RTN4R	RTN4R
ENSSSCG00000004009	ENSG00000184786	TCTE3	TCTE3
ENSSSCG00000032836	ENSG00000146063	NA	TRIM41
ENSSSCG00000022208	ENSG00000028137	TNFRSF1B	TNFRSF1B
ENSSSCG00000012322	ENSG00000126012	KDM5C	KDM5C
ENSSSCG00000020677	ENSG00000256407	NA	AL357673.1
ENSSSCG00000016581	ENSG00000128595	CALU	CALU
ENSSSCG00000031536	ENSG00000120279	MYCT1	MYCT1
ENSSSCG00000007716	ENSG00000175877	TMEM270	TMEM270
ENSSSCG00000040899	ENSG00000182783	NA	OR2T29
ENSSSCG00000032897	ENSG00000182783	NA	OR2T29
ENSSSCG00000010837	ENSG00000197520	FAM177B	FAM177B
ENSSSCG00000005071	ENSG00000139971	ARMH4	ARMH4
ENSSSCG00000035527	ENSG00000197050	NA	ZNF420
ENSSSCG00000005617	ENSG00000136854	STXBP1	STXBP1
ENSSSCG00000015474	ENSG00000143847	PPFIA4	PPFIA4
ENSSSCG00000031759	ENSG00000213996	TM6SF2	TM6SF2
ENSSSCG00000016216	ENSG00000127824	TUBA4A	TUBA4A
ENSSSCG00000037541	ENSG00000186074	NA	CD300LF
ENSSSCG00000040321	ENSG00000277150	NA	F8A3
ENSSSCG00000028963	ENSG00000197532	OR6Y1	OR6Y1
ENSSSCG00000020876	ENSG00000242732	RTL5	RTL5
ENSSSCG00000031592	ENSG00000148143	ZNF462	ZNF462
ENSSSCG00000040646	ENSG00000196313	NA	POM121
ENSSSCG00000037320	ENSG00000196313	NA	POM121
ENSSSCG00000034508	ENSG00000196313	NA	POM121
ENSSSCG00000035843	ENSG00000196313	NA	POM121
ENSSSCG00000038596	ENSG00000196313	NA	POM121
ENSSSCG00000038482	ENSG00000196313	NA	POM121
ENSSSCG00000016789	ENSG00000196313	NA	POM121
ENSSSCG00000007705	ENSG00000196313	NA	POM121
ENSSSCG00000003736	ENSG00000141431	ASXL3	ASXL3
ENSSSCG00000024614	ENSG00000205726	ITSN1	ITSN1
ENSSSCG00000040507	ENSG00000196923	PDLIM7	PDLIM7
ENSSSCG00000016140	ENSG00000163251	FZD5	FZD5
ENSSSCG00000037072	ENSG00000124251	TP53TG5	TP53TG5
ENSSSCG00000006644	ENSG00000143418	CERS2	CERS2
ENSSSCG00000011510	ENSG00000144747	TMF1	TMF1
ENSSSCG00000021072	ENSG00000152223	EPG5	EPG5
ENSSSCG00000002523	ENSG00000198752	CDC42BPB	CDC42BPB
ENSSSCG00000010476	ENSG00000138119	MYOF	MYOF
ENSSSCG00000024030	ENSG00000108599	AKAP10	AKAP10
ENSSSCG00000000251	ENSG00000167768	KRT1	KRT1
ENSSSCG00000036261	ENSG00000226321	CROCC2	CROCC2
ENSSSCG00000004399	ENSG00000004809	SLC22A16	SLC22A16
ENSSSCG00000010522	ENSG00000165887	ANKRD2	ANKRD2
ENSSSCG00000016601	ENSG00000106304	SPAM1	SPAM1
ENSSSCG00000031306	ENSG00000243317	NA	STMP1
ENSSSCG00000035278	ENSG00000172377	OR9I1	OR9I1
ENSSSCG00000008807	ENSG00000151806	GUF1	GUF1
ENSSSCG00000023775	ENSG00000162851	TFB2M	TFB2M
ENSSSCG00000004531	ENSG00000166845	C18orf54	C18orf54
ENSSSCG00000008006	ENSG00000127585	FBXL16	FBXL16
ENSSSCG00000037147	ENSG00000175398	OR10P1	OR10P1
ENSSSCG00000015101	ENSG00000176302	FOXR1	FOXR1
ENSSSCG00000032633	ENSG00000174137	FAM53A	FAM53A
ENSSSCG00000036219	ENSG00000159248	GJD2	GJD2
ENSSSCG00000001912	ENSG00000140464	PML	PML
ENSSSCG00000003393	ENSG00000188807	TMEM201	TMEM201
ENSSSCG00000027417	ENSG00000168675	LDLRAD4	LDLRAD4
ENSSSCG00000009693	ENSG00000171044	XKR6	XKR6
ENSSSCG00000006874	ENSG00000099260	PALMD	PALMD
ENSSSCG00000035158	ENSG00000232125	DYTN	DYTN
ENSSSCG00000036546	ENSG00000110315	RNF141	RNF141
ENSSSCG00000030546	ENSG00000167733	HSD11B1L	HSD11B1L
ENSSSCG00000040217	ENSG00000189043	NA	NDUFA4
ENSSSCG00000024313	ENSG00000189043	NA	NDUFA4
ENSSSCG00000030912	ENSG00000189043	NA	NDUFA4
ENSSSCG00000023667	ENSG00000079999	KEAP1	KEAP1
ENSSSCG00000013012	ENSG00000110025	SNX15	SNX15
ENSSSCG00000039010	ENSG00000154764	WNT7A	WNT7A
ENSSSCG00000032376	ENSG00000237521	NA	OR7E24
ENSSSCG00000039036	ENSG00000237521	NA	OR7E24
ENSSSCG00000010527	ENSG00000155254	MARVELD1	MARVELD1
ENSSSCG00000032591	ENSG00000142089	NA	IFITM3
ENSSSCG00000038912	ENSG00000142089	IFITM3	IFITM3
ENSSSCG00000017297	ENSG00000008283	CYB561	CYB561
ENSSSCG00000002847	ENSG00000166123	GPT2	GPT2
ENSSSCG00000033682	ENSG00000145920	CPLX2	CPLX2
ENSSSCG00000040348	ENSG00000111052	LIN7A	LIN7A
ENSSSCG00000003777	ENSG00000137968	SLC44A5	SLC44A5
ENSSSCG00000016863	ENSG00000083720	OXCT1	OXCT1
ENSSSCG00000000033	ENSG00000100300	TSPO	TSPO
ENSSSCG00000024300	ENSG00000133678	TMEM254	TMEM254
ENSSSCG00000004695	ENSG00000092470	WDR76	WDR76
ENSSSCG00000006577	ENSG00000196420	S100A5	S100A5
ENSSSCG00000035701	ENSG00000197223	NA	C1D
ENSSSCG00000037107	ENSG00000242766	NA	IGKV1D-17
ENSSSCG00000039648	ENSG00000242766	NA	IGKV1D-17
ENSSSCG00000034961	ENSG00000242766	NA	IGKV1D-17
ENSSSCG00000037837	ENSG00000242766	NA	IGKV1D-17
ENSSSCG00000008205	ENSG00000242766	NA	IGKV1D-17
ENSSSCG00000031560	ENSG00000284824	NA	GCSAML-AS1
ENSSSCG00000034216	ENSG00000060491	OGFR	OGFR
ENSSSCG00000017271	ENSG00000108878	CACNG1	CACNG1
ENSSSCG00000014092	ENSG00000171643	S100Z	S100Z
ENSSSCG00000015835	ENSG00000133878	DUSP26	DUSP26
ENSSSCG00000040379	ENSG00000211599	NA	IGKV5-2
ENSSSCG00000025097	ENSG00000143001	TMEM61	TMEM61
ENSSSCG00000037987	ENSG00000172689	MS4A10	MS4A10
ENSSSCG00000007385	ENSG00000124134	KCNS1	KCNS1
ENSSSCG00000017980	ENSG00000179477	ALOX12B	ALOX12B
ENSSSCG00000014561	ENSG00000174885	NLRP6	NLRP6
ENSSSCG00000012440	ENSG00000102144	PGK1	PGK1
ENSSSCG00000010727	ENSG00000154478	GPR26	GPR26
ENSSSCG00000008695	ENSG00000109736	MFSD10	MFSD10
ENSSSCG00000025685	ENSG00000078900	TP73	TP73
ENSSSCG00000035993	ENSG00000145861	C1QTNF2	C1QTNF2
ENSSSCG00000032914	ENSG00000145050	MANF	MANF
ENSSSCG00000015002	ENSG00000110675	ELMOD1	ELMOD1
ENSSSCG00000008619	ENSG00000079785	DDX1	DDX1
ENSSSCG00000034307	ENSG00000203733	GJE1	GJE1
ENSSSCG00000034647	ENSG00000116898	MRPS15	MRPS15
ENSSSCG00000003757	ENSG00000117155	SSX2IP	SSX2IP
ENSSSCG00000033303	ENSG00000129071	MBD4	MBD4
ENSSSCG00000021651	ENSG00000149575	SCN2B	SCN2B
ENSSSCG00000038547	ENSG00000166206	GABRB3	GABRB3
ENSSSCG00000002907	ENSG00000126267	NA	COX6B1
ENSSSCG00000037132	ENSG00000028277	POU2F2	POU2F2
ENSSSCG00000031143	ENSG00000105173	NA	CCNE1
ENSSSCG00000001994	ENSG00000092330	TINF2	TINF2
ENSSSCG00000021397	ENSG00000114631	PODXL2	PODXL2
ENSSSCG00000025151	ENSG00000132612	NA	VPS4A
ENSSSCG00000029837	ENSG00000102763	VWA8	VWA8
ENSSSCG00000039415	ENSG00000175699	CCDC197	CCDC197
ENSSSCG00000005975	ENSG00000170873	MTSS1	MTSS1
ENSSSCG00000004106	ENSG00000131023	LATS1	LATS1
ENSSSCG00000023078	ENSG00000160193	WDR4	WDR4
ENSSSCG00000036321	ENSG00000102871	TRADD	TRADD
ENSSSCG00000006209	ENSG00000175073	VCPIP1	VCPIP1
ENSSSCG00000006453	ENSG00000183853	KIRREL1	KIRREL1
ENSSSCG00000034242	ENSG00000164749	HNF4G	HNF4G
ENSSSCG00000033333	ENSG00000214814	FER1L6	FER1L6
ENSSSCG00000035022	ENSG00000182634	NA	OR10G7
ENSSSCG00000013598	ENSG00000186994	KANK3	KANK3
ENSSSCG00000036445	ENSG00000156234	NA	CXCL13
ENSSSCG00000040414	ENSG00000062524	NA	LTK
ENSSSCG00000013768	ENSG00000141854	MISP3	MISP3
ENSSSCG00000006995	ENSG00000104763	ASAH1	ASAH1
ENSSSCG00000037534	ENSG00000183715	NA	OPCML
ENSSSCG00000025190	ENSG00000135469	COQ10A	COQ10A
ENSSSCG00000024618	ENSG00000143756	NA	FBXO28
ENSSSCG00000007656	ENSG00000213413	PVRIG	PVRIG
ENSSSCG00000011104	ENSG00000108094	CUL2	CUL2
ENSSSCG00000017835	ENSG00000132361	CLUH	CLUH
ENSSSCG00000021793	ENSG00000163683	SMIM14	SMIM14
ENSSSCG00000032592	ENSG00000211777	TRAV3	TRAV3
ENSSSCG00000000068	ENSG00000100393	EP300	EP300
ENSSSCG00000036398	ENSG00000142676	NA	RPL11
ENSSSCG00000008141	ENSG00000144057	ST6GAL2	ST6GAL2
ENSSSCG00000022501	ENSG00000134595	SOX3	SOX3
ENSSSCG00000008444	ENSG00000171132	PRKCE	PRKCE
ENSSSCG00000011752	ENSG00000075420	FNDC3B	FNDC3B
ENSSSCG00000038604	ENSG00000130158	DOCK6	DOCK6
ENSSSCG00000039378	ENSG00000100665	SERPINA4	SERPINA4
ENSSSCG00000021617	ENSG00000073598	FNDC8	FNDC8
ENSSSCG00000025599	ENSG00000068438	FTSJ1	FTSJ1
ENSSSCG00000032986	ENSG00000197976	AKAP17A	AKAP17A
ENSSSCG00000004154	ENSG00000118503	TNFAIP3	TNFAIP3
ENSSSCG00000034876	ENSG00000229833	PET100	PET100
ENSSSCG00000003780	ENSG00000116791	CRYZ	CRYZ
ENSSSCG00000000925	ENSG00000133641	C12orf29	C12orf29
ENSSSCG00000002307	ENSG00000100632	ERH	ERH
ENSSSCG00000022538	ENSG00000007047	MARK4	MARK4
ENSSSCG00000034038	ENSG00000067064	NA	IDI1
ENSSSCG00000016923	ENSG00000169067	ACTBL2	ACTBL2
ENSSSCG00000005845	ENSG00000198113	TOR4A	TOR4A
ENSSSCG00000000540	ENSG00000187950	OVCH1	OVCH1
ENSSSCG00000004639	ENSG00000138592	USP8	USP8
ENSSSCG00000034126	ENSG00000134007	ADAM20	ADAM20
ENSSSCG00000033171	ENSG00000185386	MAPK11	MAPK11
ENSSSCG00000038006	ENSG00000171612	SLC25A33	SLC25A33
ENSSSCG00000010559	ENSG00000186862	NA	PDZD7
ENSSSCG00000005215	ENSG00000096968	JAK2	JAK2
ENSSSCG00000007859	ENSG00000169344	UMOD	UMOD
ENSSSCG00000002170	ENSG00000274102	NA	OR4M2
ENSSSCG00000009881	ENSG00000111335	OAS2	OAS2
ENSSSCG00000015949	ENSG00000115840	SLC25A12	SLC25A12
ENSSSCG00000006689	ENSG00000131788	PIAS3	PIAS3
ENSSSCG00000024418	ENSG00000116574	RHOU	RHOU
ENSSSCG00000034364	ENSG00000128487	NA	SPECC1
ENSSSCG00000010861	ENSG00000163050	COQ8A	COQ8A
ENSSSCG00000027357	ENSG00000160213	CSTB	CSTB
ENSSSCG00000035789	ENSG00000284373	NA	TAF11L2
ENSSSCG00000000730	ENSG00000111218	PRMT8	PRMT8
ENSSSCG00000028638	ENSG00000141076	UTP4	UTP4
ENSSSCG00000033367	ENSG00000169499	PLEKHA2	PLEKHA2
ENSSSCG00000036152	ENSG00000099282	TSPAN15	TSPAN15
ENSSSCG00000012548	ENSG00000157502	MUM1L1	MUM1L1
ENSSSCG00000016674	ENSG00000106125	MINDY4	MINDY4
ENSSSCG00000039951	ENSG00000211950	NA	IGHV1-24
ENSSSCG00000031222	ENSG00000155816	NA	FMN2
ENSSSCG00000036504	ENSG00000158786	PLA2G2F	PLA2G2F
ENSSSCG00000038858	ENSG00000089101	CFAP61	CFAP61
ENSSSCG00000002680	ENSG00000103168	TAF1C	TAF1C
ENSSSCG00000036237	ENSG00000135424	ITGA7	ITGA7
ENSSSCG00000004806	ENSG00000285077	NA	ARHGAP11B
ENSSSCG00000015861	ENSG00000136709	WDR33	WDR33
ENSSSCG00000032446	ENSG00000182795	C1orf116	C1orf116
ENSSSCG00000007203	ENSG00000254598	NA	CSNK2A3
ENSSSCG00000034252	ENSG00000239571	NA	IGKV2D-30
ENSSSCG00000039105	ENSG00000239571	NA	IGKV2D-30
ENSSSCG00000031364	ENSG00000239571	NA	IGKV2D-30
ENSSSCG00000040986	ENSG00000239571	NA	IGKV2D-30
ENSSSCG00000008661	ENSG00000239571	NA	IGKV2D-30
ENSSSCG00000000675	ENSG00000159403	C1R	C1R
ENSSSCG00000037038	ENSG00000255181	NA	CCDC166
ENSSSCG00000004794	ENSG00000166069	TMCO5A	TMCO5A
ENSSSCG00000039444	ENSG00000183310	NA	OR2T34
ENSSSCG00000039905	ENSG00000116922	C1orf109	C1orf109
ENSSSCG00000028512	ENSG00000130164	LDLR	LDLR
ENSSSCG00000008213	ENSG00000254126	CD8B	CD8B2
ENSSSCG00000006350	ENSG00000143226	NA	FCGR2A
ENSSSCG00000025085	ENSG00000172260	NEGR1	NEGR1
